job_date,job_company_name,job_type,job_industry,job_location,job_description,job_company_info,job_working_hours,job_requirnments,job_japanese_level,job_english_level,job_salary,job_other_salary_description,job_holidays,job_contract,job_nearest_station
2019-06-11,"
                      SCSKサービスウェア株式会社/SCSK ServiceWare Corporation
                    ","
IT (Other) - Customer Support Engineer
Customer Service - Telemarketing/Telesales
Customer Service - Customer Support",Outsourcing,"
Asia   
Japan   
Tokyo   
Chiyoda   
 
 
 
 
 
 
 
 ","
                ★外資系クライアント企業でのお仕事で、英語力を活かせます！
★高い有給取得率！少ない残業時間！働きやすさ◎

【具体的な仕事内容】
大手外資系企業の社内常駐ITヘルプデスク
・業務で使用するITデバイスや業務アプリケーションのトラブル対応・操作案内
（オンサイト/メール/電話）
・会議室デバイスのサポート
・ACアダプター等、アクセサリーの貸出・管理
・ユーザーガイド、運用マニュアル作成・更新及び管理
・日本語8割、英語2割程度（対面での会話メイン）

【英語の使用場面】
スタッフからの英語でのお問い合わせに対して回答したり、海外のエスカレーション先への問い合わせなど。
社内で一緒に働く仲間から直接問合せを受けるので、対面での会話がメインとなります。

【キャリアパス】
オペレーターからスタートしてリーダー、管理者へのステップアップを目指せます。
社内公募によるキャリアチェンジの機会もあります。
              ","
                  SCSKサービスウェアは、ITサービスを広く提供するSCSK株式会社のグループ企業です。
ITに関するヘルプデスクやテクニカルサポート業務を受託し、お客様の業務を代行しながら発展させるビジネスアウトソーシング事業を行っています。
お客様から託された業務を改善し磨き上げて、大きく育てるのが私たちのミッションです。

＜正社員登用制度＞
所定の条件を満たした方を対象とした、年2回の正社員への登用制度があり、
この1年で52名が正社員に。
転勤がない正社員職も選択でき、長期的なキャリアビジョンを描けます。

＜働き方改革で残業20h以下！＞
残業時間削減、有給取得促進など働き方改革にも積極的に取り組んでおり、
2018年には有給消化率が80%まで上昇、残業時間も月平均20時間以下に減少。
ワークライフバランスのとれた安定した環境で、じっくりスキルを伸ばせます！
                ","
                  月～金　（週5日勤務）
9:00～18:00　（実働8時間/休憩60分）
                ","
                  【必須条件】
ヘルプデスクまたはITテクニカルサポートの実務経験：1年以上
英語：ビジネスレベル（会話、読み書き）
日本語：ビジネスレベル（会話、読み書き）
Windows、Microsoft Office、サーバー、ネットワークに関する基礎知識

【就業開始日】
入社時期、入社日はご相談可能です。6月、7月入社可能！
                ","

                    Fluent(JLPT Level 1 or N1)
                  
","

                    Business Conversation Level (TOEIC 735-860)
                  
","
JPY  - Japanese Yen   JPY 3500K -  JPY 4500K 
                    
                  
                ","
                  【待遇・福利厚生】
各種社会保険完備（SCSK健康保険組合加入）
年1回無料健康診断、歯科検診無料
各種スポーツ施設・保養所施設利用可
資格試験費用負担（試験合格時に当社が負担）
スキルアップ研修
正社員登用制度（登用試験は年二回実施）
                ","
                  完全週休2日制（土・日・祝）
                ","
                初回1～2か月契約　※その後3か月ごとに更新予定
              ","
                  ・JR線「東京駅」　丸の内北口　徒歩3分
・東京メトロ各線「大手町駅」　B2c出口　下車徒歩2分
                "
2019-06-11,"
                      株式会社FRONTEO
                    ","
IT (Hardware/Network) - Network Engineer
IT (Other) - In-house System Operator
IT (Hardware/Network) - Server Architect and Developer",Telecommunications/Information Services,"
Asia   
Japan   
Tokyo   
 
 
 
 
 
 
 
 
 ","
                ■Daily operation
・Ensure the second level service desk for our client’s in ASPAC regions, escalate/collaborate with vendor.
・Respond with diligence to questions, requests and problems of our clients. Escalate to management and colleagues when and where required.
・Use the tools and procedures provided by information systems.

■Installation Services
Install and maintain the back end infrastructure for ASPAC. The offices support infrastructure comprised.
-WAN/LAN network
-Physical or virtualized server composed of Linux and Windows
-DC colocation and office facility
-Virtual and VDI infrastructure
-General office/back end service like as mail/file server/copier/account management
-Internet/Intranet access
-Local applications and application client interface
              ",,"
                  9:00-18:00
                ","
                  Bilingual in English and Japanese
Who are able to travel approximately 20% business travel in Japan and overseas

■Functional requirements
-Minimum five years’ experience on IT. Infrastructure and helpdesk support or equivalent with at least 2 years in supervisory level, demonstrated and hands-on expertise in technical design and implementation, working experience in a service driven, customer oriented environment

■Technical skills
・Good understanding of general business applications and their interaction with the infrastructure
・In order to fulfill business demand and keep service level of Fronteo, candidate must have multiple equivalent skill listed below. 
- Deep knowledge of MS active directory, DNS, DHCP service composed with Windows 7/2012, 10/2016 based infrastructure.
-Plan, hands-on, install, manage SMTP/POP, snmp, SSH, ip filtering, NFS, Proxy server composed with Linux.
- Plan, hands-on, install, manage basic network technology including STP, static/dynamic routing, ACL, NAT, VPN(L2TP/IPsec, SSLVPN) composed with Cisco or HPE, Linux.
- Plan, install or modify VDI(Citrix Xenapp/Xen desktop) middleware and related service like as Netscaler or load balancer.
- Deploy, manage virtualized infrastructure composed with VMware products like as VDS/VSA/vCenter, ESXi host.
- Deploy, manage storage system configured with IP base SAN(iSCSI/NFS) or raid controller and Jbod. Close knowledge to SDS/HCI, especially vSAN is preferred.
- Manage and monitor backup infrastructure with understanding requirement of virtualized infrastructure.
- Install, maintain and operate general or OSS base monitoring services to correct and handle alert/error in order to keep system availability.
- Quick and independent working availability for general back office, TCP/IP networking, LAN and WAN technologies like as public DNS, managing ISP service, cable management, collocation and racking design, SSL certification management with enterprise grade consideration.

■Managerial skills
・Effective communication skills
・Good negotiation skills with a service oriented mindset
・Business level Japanese or English writing and conversation skill.
・Good decision making skills coupled with pronounced ability to work in team with other group of the IT department
・Ability to translate the company’s missions, vision and strategies into working principles for IT
・Ability to present technical matters to a non-technical audience.
・Skills to discover new opportunities for improvement of the services delivered to our internal client
                ","

                    Fluent(JLPT Level 1 or N1)
                  
","

                    Fluent (TOEIC 865-)
                  
","
JPY  - Japanese Yen   JPY 8000K -  JPY 10000K 
                    
                  
                ","
                  ・Commuting allowance: maximum 50,000 JPY/month
・Full of social insurance
・Overtime allowance (Non-exempt)
・Housing allowance (Non-exempt)
・Family allowance (Non-exempt)
                ","
                  ・Work 8 hours a day
・Work 5 day a week
・Public holiday
・Summer vacation
・New year's holiday
・Congratulation or Condolence leave
・Paid vacation: 10 days a year for the first year at company (Maximum 20 days a year)
                ","
                正社員 ※試用期間3か月
              ","
                  東京都港区港南2-12-23 明産高浜ビル（受付8階）

<アクセス>
■JR線・京浜急行線「品川駅」港南口より、徒歩12分
■りんかい線・東京モノレール「天王洲アイル駅」より、徒歩12分
                "
2019-06-11,"
                      株式会社FRONTEO
                    ","
IT (Hardware/Network) - Network Engineer
IT (Other) - In-house System Operator",Telecommunications/Information Services,"
Asia   
Japan   
Tokyo   
 
 
 
 
 
 
 
 
 ","
                ■Helpdesk
・Ensure the second level service desk for our client’s in ASPAC regions, fall-back support for the rest of the ASPAC regions
・Respond with diligence to questions, requests and problems of our clients. Escalate to management and colleagues when and where required.
・Use the tools and procedures provided by information systems.

■Installation Services
・Install and maintain the office support infrastructure for ASPAC. The offices support infrastructure comprises：
-WAN/LAN network
-Windows server environment
-Windows/Office workstation environment
-Printing
-Email
-Internet/Intranet access
-Local applications and application client interface

■Back-Office
・Perform system administration tasks (Adds, Moves, Changes) for the office support infrastructure
-User administration
-User access administration
-Network printing
-Remote Access and internet access administration

■Application Support
・Provide support for small, local applications, mostly as interface with party application supplier or support
              ",,"
                  9:00-18:00
                ","
                  Bilingual in English and Japanese

■Functional requirements
・Education
-Bachelor or higher in information technology, applied computer sciences, or related field, with MCSE, CCNA, ITIL and related professional certificates is preferred
-Minimum five years’ experience on IT. Infrastructure and helpdesk support or equivalent with at least 2 years in supervisory level, demonstrated and hands-on expertise in technical design and implementation, working experience in a service driven, customer oriented environment

■Technical skills
・In depth, hands-on technical knowledge of the implemented information systems-solutions within Fronteo
-Windows 7/10 based workstation environment
-Microsoft Office environment
-Microsoft Active Directory Services
-Microsoft Windows 2008/2012 server
-Microsoft Exchange/Outlook email system
-Microsoft Windows Server Update Services
-TCP/IP networking, LAN and WAN technologies
-Cisco routers, switches configuration
-Internet technologies (IIS, HTML, proxy server)
-Microsoft SQL Server
・Good understanding of general business applications and their interaction with the infrastructure
・Conceptual knowledge of project management concepts and practices

■Managerial skills
・Effective communication skills
・Good negotiation skills with a service oriented mindset
・Good decision making skills coupled with pronounced ability to work in team with other group of the IT department
・Ability to translate the company’s missions, vision and strategies into working principles for IT
・Ability to present technical matters to a non-technical audience.
・Skills to discover new opportunities for improvement of the services delivered to our internal client	
                ","

                    Fluent(JLPT Level 1 or N1)
                  
","

                    Business Conversation Level (TOEIC 735-860)
                  
","
JPY  - Japanese Yen   JPY 6500K -  JPY 8000K 
                    
                  
                ","
                  【福利厚生】
・通勤手当：50,000円/月まで支給
・社会保険完備
・退職金制度
・社員持株会制度

（管理職層以外には以下の手当てがつきます）
・時間外勤務手当
・住宅手当
・家族手当
                ","
                  ・就業時間：9:00-18:00
・週休2日制（土日）及び祝日
・夏季休暇　
・年末年始
・慶弔休暇
・有給休暇：入社時に10日付与（最高20日/年）
                ","
                正社員 ※試用期間3か月
              ","
                  東京都港区港南2-12-23 明産高浜ビル（受付8階）

<アクセス>
■JR線・京浜急行線「品川駅」港南口より、徒歩12分
■りんかい線・東京モノレール「天王洲アイル駅」より、徒歩12分
                "
2019-06-11,"
                      株式会社FRONTEO
                    ","
IT (PC, Web, Unix) - Web Application SE
IT (PC, Web, Unix) - Programmer
IT (Other) - In-house System Operator",Telecommunications/Information Services,"
Asia   
Japan   
Tokyo   
 
 
 
 
 
 
 
 
 ","
                ■ 募集ポジションについて
FRONTEOの人工知能「KIBIT」搭載ソフトウェア「Lit i Viewファミリー」のプログラム開発を担当し、自社プロダクトの競争力向上に貢献するポジションです。

■ 具体的な業務内容
● 事業部代表者、PM等が定めた開発要件に従いプロダクトのソフトウェア開発や設計ドキュメントの作成、プログラミング、テストを実施（要件の詳細を決定する必要がある場合は、事業部代表者やユーザーと要件定義を行うケースもある）
● C#、Javaによるプログラミング
● Webアプリケーション、Windowsアプリケーションの開発
● ASP.NET、Spring Framework、Silverlight、WPFなどを使用して開発
● SQLの新規作成や修正。DBは主にPostgreSQLを使用
● 開発に必要な技術的な調査や検証（オープンソース・ソフトウェアの適用や他社製品の利用に関する検証、技術的課題の解決のための検証など）
● 業務委託先パートナーに対する指示や作業結果の確認

■ キャリアパス
将来は、FRONTEOの研究者により考案された新しいアプローチをプロトタイプとして実装、人工知能「KIBIT」のプロダクトへの搭載を検討していく業務を担っていただきます。
アメリカ、韓国、台湾の社内ユーザーと業務課題を解決する技術的提案をしていただき、プロジェクト・マネージャーとしてのキャリアを目指すことも可能です。
              ",,"
                  9:00-18:00
                ","
                  【必須条件】
■ 経験・スキル
・いずれかの言語でのソフトウェア開発経験３年以上
・Webアプリケーション開発の基礎知識
・RDBMSの基礎知識
■ 語学スキル
・日本語：ビジネスレベル
・英語　：日常会話レベル（技術文章を読める）


【望ましいスキル】
・Java、C#での開発経験
・ASP.NET、Spring Frameworkでの開発経験
・PostgreSQLの利用経験
・Silverlightの開発経験（旧システムで使用）
・Gitの利用経験
・ハイパフォーマンスなアプリケーション開発のノウハウをお持ちの方
                ","

                    Business Level(JLPT Level 2 or N2)
                  
","

                    Daily Conversation Level (TOEIC 475-730)
                  
","
JPY  - Japanese Yen   JPY 6000K -  JPY 8000K 
                    
                  
                ","
                  【福利厚生】
・通勤手当：50,000円/月まで支給
・社会保険完備
・退職金制度
・社員持株会制度

（管理職層以外には以下の手当てがつきます）
・時間外勤務手当
・住宅手当
・家族手当
                ","
                  週休2日制（土日）及び祝日、夏季休暇、年末年始、慶弔休暇、有給休暇：入社時に10日付与（最高20日/年）
                ","
                正社員 ※試用期間3か月
              ","
                  東京都港区港南2-12-23 明産高浜ビル（受付8階）

<アクセス>
■JR線・京浜急行線「品川駅」港南口より、徒歩12分
■りんかい線・東京モノレール「天王洲アイル駅」より、徒歩12分
                "
2019-06-11,"
                      株式会社FRONTEO
                    ","
IT (Other) - Project Manager
Legal - Lawyer - In-house",Telecommunications/Information Services,"
Asia   
Japan   
Tokyo   
 
 
 
 
 
 
 
 
 ","
                法律事務所や企業の法務部等のお客さまからご依頼を受け、対象となるコンピュータ等の電子記録媒体の証拠を収集し、データの解析を行うサイトでメンバーの管理を担っていただきます。

【具体的には】
①プロジェクトメンバーの調整
②プロジェクトのクオリティコントロール
　 データプロセス（証拠データ抽出＆分析）
　 データ閲覧（証拠データ精査）
　 プロダクション（証拠データ提出物作成）
③海外子会社との連携・調整
④プロジェクトメンバー（レビューアー）の勤怠管理、ピープルマネージメント

※プロジェクトによって異なりますが、数名～数十名規模となります。
※経験にあわせて段階的に職務範囲を拡大していくことが可能です。
              ",,"
                  9:00-18:00
                ","
                  【必須条件】
・日本語　流暢レベル以上
・英語　ビジネスレベル以上
・US弁護士資格保持者（州は問いません）
・英語を使った海外との業務経験

【望ましいスキル】
・複数の人材を活用した業務工程を管理した経験のある方
                ","

                    Fluent(JLPT Level 1 or N1)
                  
","

                    Business Conversation Level (TOEIC 735-860)
                  
","
JPY  - Japanese Yen   JPY 4000K -  JPY 12000K 
                    
                  
                ","
                  【福利厚生】
・通勤手当：50,000円/月まで支給
・社会保険完備
・退職金制度
・社員持株会制度

（管理職層以外には以下の手当てがつきます）
・時間外勤務手当
・住宅手当
・家族手当
                ","
                  週休2日制（土日）及び祝日、夏季休暇、年末年始、慶弔休暇、有給休暇：入社時に10日付与（最高20日/年）
                ","
                正社員 ※試用期間3か月
              ","
                  東京都港区港南2-12-23 明産高浜ビル（受付8階）

<アクセス>
■JR線・京浜急行線「品川駅」港南口より、徒歩12分
■りんかい線・東京モノレール「天王洲アイル駅」より、徒歩12分
                "
2019-06-11,"
                      株式会社FRONTEO
                    ","
IT (Other) - Customer Support Engineer
Customer Service - Customer Support",Telecommunications/Information Services,"
Asia   
Japan   
Tokyo   
 
 
 
 
 
 
 
 
 ","
                自社/他社アプリケーション製品のテクニカルサポートをご対応頂きます。

【具体的には】
■電話または電子メールにてユーザー（社員及び顧客）からテクニカルな質問や問題に対し、正確かつタイムリーな解決策を提供する。
　-２名体制でダブルチェックを行う為、一人で解決策を判断せず対応方法を確認しながら業務する事が可能です。
　-パフォーマンスやハードウェア問題の切り分けも行う為、インフラチームとのコミュニケーションが必要です。
　-アプリケーションのバグの可能性がある場合は、開発チームとコニュニケーションが必要、エスカレーションを行います。
■インフラチームに確認後、リソースの追加、変更作業
■ユーザアカウント管理
■その他関連ソフトウェアの管理
■対応履歴のトラッキング（対応チケット管理）
              ",,"
                  9:00-18:00
                ","
                  【必須条件】
・日本語　流暢レベル以上
・IT業務での就業経験2年以上
・インフラ知識（サーバー、ストレージ、ネットワーク等）が１つでもある方
・Microsoft Windows Server 2003〜2016R2、
　Linux Cent OS 5.6〜7.4、
　VMware vSphere ESXi 4.1〜6.5、
　Citrix 5.5〜7.14、PostgreSQL等データベースの知識など、最低１つ得意とする事

【望ましいスキル】
・英語　ビジネスレベル以上
・開発経験
・テクニカルサポート経験
・アプリケーション操作経験
・夜勤対応出来る方（対応出来る場合は、別途報酬有り）
                ","

                    Fluent(JLPT Level 1 or N1)
                  
","

                    Business Conversation Level (TOEIC 735-860)
                  
","
JPY  - Japanese Yen   JPY 5500K -  JPY 6500K 
                    
                  
                ","
                  【福利厚生】
・通勤手当：50,000円/月まで支給
・社会保険完備
・退職金制度
・社員持株会制度

（管理職層以外には以下の手当てがつきます）
・時間外勤務手当
・住宅手当
・家族手当
                ","
                  週休2日制（土日）及び祝日、夏季休暇、年末年始、慶弔休暇、有給休暇：入社時に10日付与（最高20日/年）
                ","
                正社員 ※試用期間3か月
              ","
                  東京都港区港南2-12-23 明産高浜ビル（受付8階）

<アクセス>
■JR線・京浜急行線「品川駅」港南口より、徒歩12分
■りんかい線・東京モノレール「天王洲アイル駅」より、徒歩12分
                "
2019-06-11,"
                      株式会社FRONTEO
                    ","
IT (Other) - Sales Engineer
IT (Other) - Customer Support Engineer",Telecommunications/Information Services,"
Asia   
Japan   
Tokyo   
 
 
 
 
 
 
 
 
 ","
                主に官公庁のお客様へ、フォレンジックツールのデモ、コンサルティング、問い合わせ対応など、様々な形で技術的なサポートを行っていくことがミッションです。

【具体的には】
■ 自社製品および他社製品の顧客へのデモ、技術質問対応
■ 自社製品および他社製品の評価、開発ベンダへの仕様提案
■ 自社製品および他社製品の納品対応、運用、保守対応
■ 問い合わせ、問題解決対応
■ 顧客へのコンサルティング
■ 社内外への製品トレーニング
■ 不正調査サポート
              ",,"
                  9:00-18:00
                ","
                  【必須条件】
・日本語　流暢レベル以上
・英語　日常会話～ビジネスレベル以上（主にメールでの読み書き）
・ソフトウェアの開発またはテクニカルサポート経験

【望ましいスキル】
・顧客とのコミュニケーション経験
・製品ベンダとの技術コミュニケーション経験
・SQLデータベース構築経験
                ","

                    Fluent(JLPT Level 1 or N1)
                  
","

                    Daily Conversation Level (TOEIC 475-730)
                  
","
JPY  - Japanese Yen   JPY 5000K -  JPY 7000K 
                    
                  
                ","
                  【福利厚生】
・通勤手当：50,000円/月まで支給
・社会保険完備
・退職金制度
・社員持株会制度

（管理職層以外には以下の手当てがつきます）
・時間外勤務手当
・住宅手当
・家族手当
                ","
                  週休2日制（土日）及び祝日、夏季休暇、年末年始、慶弔休暇、有給休暇：入社時に10日付与（最高20日/年）
                ","
                正社員 ※試用期間3か月
              ","
                  東京都港区港南2-12-23 明産高浜ビル（受付8階）

<アクセス>
■JR線・京浜急行線「品川駅」港南口より、徒歩12分
■りんかい線・東京モノレール「天王洲アイル駅」より、徒歩12分
                "
2019-06-11,"
                      BiOS, Inc. / 株式会社バイオス
                    ","
IT (Other) - IT Help Desk
IT (Other) - In-house System Operator
IT (Other) - Customer Support Engineer",IT Consulting,"
Asia   
Japan   
Tokyo   
 
 
 
 
 
 
 
 
 ","
                バイリンガルエンジニア（日本語、英語）を募集しています。No Strong IT skills needed. Willing to learn is the most important. 

JD:
・Troubleshoot, support and incident-manage user PCs and other related technical infrastructure according to the client’s SLA and ITIL methodology
・Provide technical support to desktop/laptop PCs, printers, monitors, server/network equipment, and other hardware in office environment
・Coordinate with helpdesk engineers to provide support by corresponding to tickets within decided period
・Manage IT hardware assets. Tasks include; installing, moving, adding, changing, disposing, and removing.
・Support best practices of IT and client requests through communication with onsite
support helpdesk engineers updating, organizing, and managing user manuals regarding daily operations
・Other ad-hoc technical tasks are required
              ",,,"
                  Skills Needed:
・ Japanese with Bilingual communication skill 
・ Willing to work as a team 
・ Eager to learn
・Basic IT skills welcome
","

                    Business Level(JLPT Level 2 or N2)
                  
","

                    Business Conversation Level (TOEIC 735-860)
                  
","
Depends on experience
                    
                  
                ",,,,
2019-06-11,"
                      BiOS, Inc. / 株式会社バイオス
                    ","
IT (Other) - IT Help Desk
IT (Other) - Customer Support Engineer
IT (Other) - In-house System Operator",IT Consulting,"
Asia   
Japan   
Tokyo   
 
 
 
 
 
 
 
 
 ","
                【注目ポイント】1名で常駐しサポートをしていただきます。質問がある際又は切り分けをする際には、グローバルチーム等に連絡をとることができます。バイリンガル（日本語、英語）エンジニアの方、歓迎いたします。残業及び土日祝日作業はほとんどありません。

Duties will include, but not limited to:
・Install currently supported Microsoft OS onto a desktop and laptop;
・Load an image onto a desktop and laptop;
・Load standard software applications such as Microsoft Office or other scripted installs;
・Install (unpack, connect to the network and test) standard desktops, laptops, printers and peripherals.
・Find faults with basic office environment IT related problems (connectivity, application errors, operating system issues);
・Replace components in both desktops and laptops (e.g. hard drives, processors, fans etc.);
・Understand more complex desktop and laptop installations and configurations.
              ",,"
                  ノーマルワーキングアワー (one hour lunch break each day) 
                ",,"

                    Business Level(JLPT Level 2 or N2)
                  
","

                    Business Conversation Level (TOEIC 735-860)
                  
","
Depends on experience
                    
                  
                ",,,,
2019-06-11,"
                      BiOS, Inc. / 株式会社バイオス
                    ","
IT (Other) - IT Help Desk
IT (Other) - Customer Support Engineer
IT (Hardware/Network) - Network Engineer",IT Consulting,"
Asia   
Japan   
Tokyo   
 
 
 
 
 
 
 
 
 ","
                Responsibility:

•  Support widely used hardware (PC's, Laptops, Mobile devices etc.) and software products (MS Office, MS Windows etc.) as well as in-house applications, MarketData applications and local third party accounting systems etc.

• Respond to Help desk generated tickets within defined timescales

• Escalate unresolved or significant impact issues, whilst maintaining overall responsibility for the problem or activity

• Be willing to provide assistance with any other elements of IT support when required

• Assist the team with project delivery tasks as and when the need arises

• Provide VIP support when necessary for local execs or visitors
              ",,,,"

                    Native Level
                  
","

                    Minimum Communication Level (TOEIC 225-470)
                  
","
Depends on experience
                    
                  
                ",,,,
